gitrev,hid,depth,din,R_relax,ε,ω_p,n_cycles,cos_min,pass,reps
unknown,256,4,784,0.0055710305,0.01,0.1,4,-0.14285494,false,8
unknown,256,4,784,0.0055710305,0.01,0.1,8,-0.17583595,false,8
unknown,256,4,784,0.0055710305,0.01,0.1,16,-0.2601776,false,8
unknown,256,4,784,0.0055710305,0.01,0.2,4,-0.13744207,false,8
unknown,256,4,784,0.0055710305,0.01,0.2,8,-0.562581,false,8
unknown,256,4,784,0.0055710305,0.01,0.2,16,-0.16865505,false,8
unknown,256,4,784,0.0055710305,0.03,0.02,4,0.02949527,false,8
unknown,256,4,784,0.0055710305,0.03,0.05,4,-0.33529538,false,8
unknown,256,4,784,0.0055710305,0.03,0.05,8,-0.26759025,false,8
unknown,256,4,784,0.0055710305,0.03,0.05,16,-0.045618173,false,8
unknown,256,4,784,0.0055710305,0.03,0.1,4,-0.5184076,false,8
unknown,256,4,784,0.0055710305,0.03,0.1,8,-0.3704355,false,8
unknown,256,4,784,0.0055710305,0.03,0.1,16,-0.093845926,false,8
unknown,256,4,784,0.0055710305,0.03,0.2,4,-0.19372268,false,8
unknown,256,4,784,0.0055710305,0.03,0.2,8,-0.6341015,false,8
unknown,256,4,784,0.0055710305,0.03,0.2,16,-0.32406434,false,8
unknown,256,4,784,0.0055710305,0.1,0.02,4,-0.14294359,false,8
