arm,depth,seed,block_index,alpha
rezero_warm_g,20,3,15,0.23281471
rezero_warm_g,20,3,16,0.26011807
rezero_warm_g,20,3,17,0.25533614
rezero_warm_g,20,3,18,0.28993624
rezero_warm_g,20,3,19,0.29584798
rezero_warm_g,20,3,20,0.3178473
rezero_warm_g,50,1,1,0.10413741
rezero_warm_g,50,1,2,0.08725042
rezero_warm_g,50,1,3,0.112702265
rezero_warm_g,50,1,4,0.07626406
rezero_warm_g,50,1,5,0.11920134
rezero_warm_g,50,1,6,0.11260033
rezero_warm_g,50,1,7,0.13457324
rezero_warm_g,50,1,8,0.13403544
rezero_warm_g,50,1,9,0.12844388
rezero_warm_g,50,1,10,0.11517338
rezero_warm_g,50,1,11,0.111959405
rezero_warm_g,50,1,12,0.1350077
rezero_warm_g,50,1,13,0.12394105
rezero_warm_g,50,1,14,0.1270625
rezero_warm_g,50,1,15,0.1402103
rezero_warm_g,50,1,16,0.1437107
rezero_warm_g,50,1,17,0.13989739
rezero_warm_g,50,1,18,0.14960751
rezero_warm_g,50,1,19,0.1362513
rezero_warm_g,50,1,20,0.13585095
rezero_warm_g,50,1,21,0.14780258
rezero_warm_g,50,1,22,0.11772589
rezero_warm_g,50,1,23,0.14126758
rezero_warm_g,50,1,24,0.16175982
rezero_warm_g,50,1,25,0.14815564
rezero_warm_g,50,1,26,0.15492138
rezero_warm_g,50,1,27,0.15486279
rezero_warm_g,50,1,28,0.15654913
rezero_warm_g,50,1,29,0.15773275
rezero_warm_g,50,1,30,0.16076301
rezero_warm_g,50,1,31,0.15088047
rezero_warm_g,50,1,32,0.17149614
rezero_warm_g,50,1,33,0.16104117
rezero_warm_g,50,1,34,0.16701937
rezero_warm_g,50,1,35,0.16564332
rezero_warm_g,50,1,36,0.16758174
rezero_warm_g,50,1,37,0.17223334
rezero_warm_g,50,1,38,0.18057653
rezero_warm_g,50,1,39,0.19061849
rezero_warm_g,50,1,40,0.1852852
rezero_warm_g,50,1,41,0.19851506
rezero_warm_g,50,1,42,0.20278266
rezero_warm_g,50,1,43,0.2020412
