eps,omega_p,n_cycles,readout,jitter,kmode,project,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.03,0.05,2,0.01,4.0,zero,hard,4,0.00813168814411423,0.025520019245622663,0.00813168814411423,104.42882457529517,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.01,0.25,zero,soft,7,0.009392029520058288,0.03129534688141277,0.009392029520058288,87.6287645705051,0.000232274,953,476.5,5ef5c11-d91a027d8
0.03,0.02,2,0.005,4.0,zero,soft,5,-0.025828131458995346,-0.025828131458995346,0.12644542290530386,30.87964461108542,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.03,0.05,8,0.02,4.0,zero,hard,7,-0.01997390951494189,-0.01997390951494189,0.13288468446008195,99.2804469626865,5.042856e-5,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.005,1.0,zero,hard,1,-0.08690814970044002,-0.05453651618365621,-0.08690814970044002,145.33904230893566,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.01,0.25,zero,soft,7,0.10518902815656422,0.10518902815656422,0.20712731379963997,8.815136358158615,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.01,4.0,zero,hard,4,0.08682826671044978,0.08682826671044978,0.13005627017205063,10.452680306635035,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,8,0.02,0.0,zero,hard,1,0.2426044320280027,0.2426044320280027,0.38548119559893196,4.066778275391598,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.03,0.05,2,0.005,1.0,zero,hard,1,-0.0013653007098022164,-0.0013653007098022164,0.03820468217684103,14.531463170638864,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.01,0.25,zero,soft,7,0.6307418422796065,0.6307418422796065,0.8573185598541893,0.9870863481439177,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.02,2,0.02,0.25,zero,soft,2,0.5357756639668624,0.5357756639668624,0.6677133240849306,1.4206156430347465,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,2,0.02,4.0,zero,hard,4,-0.002223026875696529,0.015037323436194527,-0.002223026875696529,2025.3400512316452,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.02,8,0.01,1.0,zero,soft,5,0.7291937272601153,0.7291937272601153,0.9136373346958658,0.8391693225542126,0.00077848433,5852,2926.0,5ef5c11-d91a027d8
0.3,0.05,2,0.005,1.0,zero,hard,1,0.46751079299139453,0.46751079299139453,0.7688020582794762,1.484446876849617,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.02,2,0.005,4.0,zero,soft,5,0.22165114894352056,0.22165114894352056,0.5710915423792614,3.102018668286276,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,2,0.02,0.25,zero,soft,7,0.05730134814958816,0.05730134814958816,0.08982195385503576,176.0771946121333,0.000232274,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.02,4.0,zero,hard,4,0.0033296314178541337,0.01764827327560349,0.0033296314178541337,202.55830345587762,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.05,8,0.005,1.0,zero,hard,4,0.1197435561221744,0.1197435561221744,0.24226194698921716,7.351953234458189,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.01,1.0,zero,hard,1,-0.125296682219852,-0.07348412469554776,-0.125296682219852,290.9880897938544,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.02,0.25,zero,soft,7,0.0954656083351888,0.0954656083351888,0.1653168592012127,17.54805223521538,0.000232274,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.02,4.0,zero,hard,4,0.04419973086373314,0.04419973086373314,0.05192966525910581,20.24504235215916,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.02,2,0.0,1.0,zero,soft,2,0.00033646274114081917,0.0026053177482189115,0.00033646274114081917,2840.6985143951197,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
