eps,omega_p,n_cycles,rep,cos,cos_l1,cos_l2,relerr_l1,steps
0.003,0.2,4,1,0.013044275862170525,0.013044275862170525,0.06457620236262605,66.7934888090266,515
0.003,0.2,1,8,-0.026331043297827223,0.08201993447081776,-0.026331043297827223,37.497160597584156,326
0.03,0.05,1,2,0.8725890711834206,0.8725890711834206,0.9396106023369115,0.48873870959316884,702
0.01,0.02,2,2,0.985008941543567,0.985008941543567,0.9876693829093406,0.17924811402252355,2084
0.01,0.2,1,8,0.06706541921677207,0.09338434996570918,0.06706541921677207,11.218619152130476,326
0.01,0.01,1,5,0.9943753171766081,0.9943753171766081,0.9976674989889283,0.10794514858944323,2714
0.01,0.2,4,1,0.027438823059331808,0.027438823059331808,0.16825673938155794,20.074155432972326,515
0.003,0.1,4,5,0.005396952865736783,0.03353678331011179,0.005396952865736783,42.55690668738596,830
0.03,0.2,1,8,0.12534876068591455,0.12534876068591455,0.2957111165311106,3.7773430416254925,326
0.1,0.05,1,2,0.9282709530566358,0.9282709530566358,0.9443907156487293,0.384104245836964,702
0.1,0.1,8,7,0.2701917193905179,0.2701917193905179,0.8619739700803647,2.044560598958985,1334
0.3,0.01,8,5,0.9978602917417256,0.9984904418203375,0.9978602917417256,0.06211935210747971,11513
0.1,0.2,1,8,0.22475796385820654,0.22475796385820654,0.5294150283143283,1.378463502674446,326
0.03,0.2,4,1,0.06812120867613565,0.06812120867613565,0.4105731109106139,6.748420052321182,515
0.3,0.01,4,2,0.9962889046965003,0.9970747131297772,0.9962889046965003,0.08106003993223716,6485
0.3,0.2,1,8,0.3674568100514502,0.3674568100514502,0.5653862385911664,0.9530961937895058,326
0.01,0.1,4,5,0.06486417460171068,0.06486417460171068,0.23097684028495244,12.739301585408366,830
0.3,0.05,1,2,0.9332231524744329,0.9332231524744329,0.9443394967367146,0.37460338293443485,702
0.1,0.2,4,1,0.20098002833049375,0.20098002833049375,0.7235716619348462,2.1596869854322134,515
0.003,0.2,2,1,0.01458315707444695,0.01458315707444695,0.07596771232208448,53.40841089757963,389
0.01,0.2,2,1,0.03257403360984131,0.03257403360984131,0.20350261323650373,16.06128902723127,389
0.3,0.2,4,1,0.45533600874850727,0.45533600874850727,0.8140571963449265,1.0034290993032817,515
0.003,0.05,1,3,0.2193443460299965,0.2193443460299965,0.7206336497929516,3.265485205314398,702
0.03,0.1,4,5,0.153353270789702,0.153353270789702,0.6412708353817744,4.244432972384168,830
0.3,0.1,8,7,0.6568241858966138,0.6568241858966138,0.9173994146882454,0.8059390607670686,1334
0.03,0.02,2,2,0.9877342828590205,0.9880308560768608,0.9877342828590205,0.1635765697189148,2084
0.03,0.2,2,1,0.08320593523739583,0.08320593523739583,0.47743490989030224,5.419214593458617,389
0.003,0.01,2,8,0.9427551887526052,0.9427551887526052,0.9649488056058254,0.33557139051779106,3971
0.003,0.2,4,2,0.004350229738570892,0.004350229738570892,0.01858727297656581,63.64922298701112,515
0.1,0.2,2,1,0.24357378134256163,0.24357378134256163,0.7554737647473077,1.7858496909288604,389
0.01,0.05,1,3,0.6251748798429267,0.6251748798429267,0.930939860204494,1.0258877393120998,702
0.03,0.01,1,5,0.9978032484798095,0.9981657274866629,0.9978032484798095,0.06686716457541172,2714
0.01,0.2,4,2,0.01590368185651986,0.01590368185651986,0.08936005484944286,19.0856477191166,515
0.1,0.1,4,5,0.41910766909018854,0.41910766909018854,0.8705774409247475,1.3538524441543696,830
0.3,0.2,2,1,0.5092883727875288,0.5092883727875288,0.8196527664198251,0.9147575407305034,389
0.03,0.05,1,3,0.8990155768293752,0.8990155768293752,0.9671765132831944,0.4386020890715864,702
0.003,0.2,2,2,0.00559146941655345,0.00559146941655345,0.026214850955790254,50.87712523342526,389
0.03,0.2,4,2,0.048935648980579824,0.048935648980579824,0.2781093718163574,6.383404172509788,515
0.003,0.1,8,8,-0.03275627026059491,0.074420361972205,-0.03275627026059491,58.86061853005753,1334
0.01,0.2,2,2,0.020055814161130302,0.020055814161130302,0.1145014664365494,15.257933689176696,389
0.1,0.2,4,2,0.16120620114791945,0.16120620114791945,0.6223249763539053,2.0387225499037425,515
0.1,0.05,1,3,0.9583316461115778,0.9583316461115778,0.9728362948199608,0.2985547362661634,702
0.03,0.2,2,2,0.06135784610670862,0.06135784610670862,0.33947720928717284,5.118607931665655,389
0.3,0.1,4,5,0.7264071415698704,0.7264071415698704,0.8987498230119209,0.691062155898829,830
0.1,0.02,2,2,0.9875766921616221,0.9883132962429018,0.9875766921616221,0.16202984596804781,2084
0.1,0.2,2,2,0.19879176045790872,0.19879176045790872,0.6662637525280256,1.692799758694088,389
