draw,carrier,frame,sample_every,cos_l1,cos_l2,relerr_l1
4,co_rotating,co_rotating,628,0.48068087105393176,0.9873083753607633,3.1742468
4,lab_2pi,co_rotating,1,0.022081979118345207,0.9934390146901964,1.0325729
4,lab_2pi,co_rotating,628,-0.02321110175037524,0.9873079059796531,1104.8488
4,lab_2pi,lab,1,0.022081979118345207,0.9934390146901964,1.0325729
4,lab_2pi,lab,628,-0.02321110175037524,0.9873079059796531,1104.8488
4,lab_1p7,co_rotating,1,0.06924060233861137,0.9934379065821917,0.99784994
4,lab_1p7,co_rotating,628,0.08176650808510887,0.98730827766631,145.79051
4,lab_1p7,lab,1,0.06924060233861137,0.9934379065821917,0.99784994
4,lab_1p7,lab,628,0.08176650808510887,0.98730827766631,145.79051
8,co_rotating,co_rotating,1,0.9988714270985872,0.9961193562791166,0.05042962
8,co_rotating,co_rotating,628,0.25650241848022265,0.9787848326658385,3.708524
8,lab_2pi,co_rotating,1,0.137549688196342,0.9961190608148672,1.0045409
8,lab_2pi,co_rotating,628,-0.13648563729897786,0.9787861466473241,1204.9038
8,lab_2pi,lab,1,0.137549688196342,0.9961190608148672,1.0045409
8,lab_2pi,lab,628,-0.13648563729897786,0.9787861466473241,1204.9038
8,lab_1p7,co_rotating,1,0.28536111232532674,0.9961193540035946,0.97487086
8,lab_1p7,co_rotating,628,0.22235047231467853,0.9787856067008389,188.84691
8,lab_1p7,lab,1,0.28536111232532674,0.9961193540035946,0.97487086
8,lab_1p7,lab,628,0.22235047231467853,0.9787856067008389,188.84691
3,co_rotating,co_rotating,1,0.9992031716362532,0.9994892745818412,0.04005723
3,co_rotating,co_rotating,628,0.2537699900202661,0.761510738249446,15.381435
3,lab_2pi,co_rotating,1,-0.07885082301794838,0.9994890947260047,1.5935009
3,lab_2pi,co_rotating,628,0.07768509362329759,0.7614968339279459,4560.533
3,lab_2pi,lab,1,-0.07885082301794838,0.9994890947260047,1.5935009
3,lab_2pi,lab,628,0.07768509362329759,0.7614968339279459,4560.533
3,lab_1p7,co_rotating,1,-0.12855964802015996,0.9994892120239649,1.1661704
3,lab_1p7,co_rotating,628,-0.1253694379713458,0.7615235383677134,590.5894
3,lab_1p7,lab,1,-0.12855964802015996,0.9994892120239649,1.1661704
3,lab_1p7,lab,628,-0.1253694379713458,0.7615235383677134,590.5894
6,co_rotating,co_rotating,1,0.9993732560467556,0.9994886824823521,0.03541871
6,co_rotating,co_rotating,628,0.3051828606028608,0.8781171162074678,5.76622
6,lab_2pi,co_rotating,1,0.014046030555716902,0.999488513449589,1.204808
6,lab_2pi,co_rotating,628,-0.014574083821012057,0.8781174894762351,2710.9521
6,lab_2pi,lab,1,0.014046030555716902,0.999488513449589,1.204808
