eps,omega_p,n_cycles,readout,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.0003,0.2,8,0.01,4,0.01368768494159382,0.01368768494159382,0.0413470637039682,885.2335188810777,1.708457e-5,767,383.5,5ef5c11-dirty
0.03,0.1,2,0.0,3,0.22450941540621505,0.22450941540621505,0.608834342388443,3.2810440300018704,3.956093e-5,578,289.0,5ef5c11-dirty
0.003,0.2,2,0.02,1,0.006816438134999756,0.006816438134999756,0.020071776650709014,53.83152288603589,0.00032680426,389,194.5,5ef5c11-dirty
0.1,0.05,2,0.0,6,0.66061220148831,0.66061220148831,0.8049272349177177,0.7527702563605249,0.000112622154,953,476.5,5ef5c11-dirty
0.1,0.1,2,0.0,3,0.551976242887302,0.551976242887302,0.8775452714343975,1.072960763571501,3.956093e-5,578,289.0,5ef5c11-dirty
0.01,0.2,2,0.02,1,-0.07152866729055525,0.005112800528037531,-0.07152866729055525,24.856240109878286,0.00032680426,389,194.5,5ef5c11-dirty
0.03,0.2,2,0.02,1,0.013378731834662627,0.013378731834662627,0.17794705452458054,12.90662267410414,0.00032680426,389,194.5,5ef5c11-dirty
0.3,0.1,2,0.0,3,0.8087370312797777,0.8087370312797777,0.9086234800549673,0.5882382892081929,3.956093e-5,578,289.0,5ef5c11-dirty
0.3,0.05,2,0.0,6,0.659547094604053,0.659547094604053,0.805038996541623,0.7536965376008862,0.000112622154,953,476.5,5ef5c11-dirty
0.1,0.2,2,0.02,1,0.04312008512799092,0.04312008512799092,0.35424759907923514,6.054824449932408,0.00032680426,389,194.5,5ef5c11-dirty
0.0003,0.1,2,0.005,3,-0.09838066611430363,0.03326043859261419,-0.09838066611430363,329.18863976644946,3.956093e-5,578,289.0,5ef5c11-dirty
0.001,0.2,8,0.01,4,0.014376011084800603,0.014376011084800603,0.1566731509247442,268.5280808492598,1.708457e-5,767,383.5,5ef5c11-dirty
0.001,0.1,8,0.01,7,-0.04216287912927557,-0.04216287912927557,0.2164885595974543,202.01512850605826,5.042856e-5,1334,667.0,5ef5c11-dirty
0.3,0.2,2,0.02,1,0.11975005486657929,0.11975005486657929,0.333662696631805,3.5382961576688783,0.00032680426,389,194.5,5ef5c11-dirty
0.0003,0.2,2,0.0,2,-0.00795785929632657,1.9376006125633508e-5,-0.00795785929632657,509.0187651060262,9.048635e-6,389,194.5,5ef5c11-dirty
0.001,0.1,2,0.005,3,-0.0966829340436026,0.03326227056195305,-0.0966829340436026,98.73758895696652,3.956093e-5,578,289.0,5ef5c11-dirty
0.0003,0.05,2,0.005,6,-0.022492638410081322,-0.022492638410081322,0.02084513487756918,51.026261168904114,0.000112622154,953,476.5,5ef5c11-dirty
0.001,0.2,2,0.0,2,0.0008740165028523651,0.0014678501019603223,0.0008740165028523651,152.68380147856323,9.048635e-6,389,194.5,5ef5c11-dirty
0.003,0.2,8,0.01,4,0.014438098222423734,0.014438098222423734,0.17196330545565092,89.68013630074003,1.708457e-5,767,383.5,5ef5c11-dirty
0.1,0.05,8,0.0,1,0.9409535994372397,0.9409535994372397,0.9785668751249028,0.3392327570376707,0.00032680426,2459,1229.5,5ef5c11-dirty
0.003,0.2,2,0.0,2,0.00559146941655345,0.00559146941655345,0.026214850955790254,50.87712523342526,9.048635e-6,389,194.5,5ef5c11-dirty
0.003,0.1,2,0.005,3,-0.035563201445468456,0.0853279559896932,-0.035563201445468456,39.32982840986888,3.956093e-5,578,289.0,5ef5c11-dirty
0.01,0.2,2,0.0,2,0.020055814161130302,0.020055814161130302,0.1145014664365494,15.257933689176696,9.048635e-6,389,194.5,5ef5c11-dirty
0.3,0.01,2,0.01,2,0.2734470266637804,0.2734470266637804,0.45848206123218355,3.1246512534920985,9.048635e-6,3971,1985.5,5ef5c11-dirty
0.03,0.2,2,0.0,2,0.06135784610670862,0.06135784610670862,0.33947720928717284,5.118607931665655,9.048635e-6,389,194.5,5ef5c11-dirty
0.001,0.05,2,0.005,6,-0.012439122975496302,-0.012439122975496302,0.015537690762537517,31.370433287304284,0.000112622154,953,476.5,5ef5c11-dirty
0.01,0.1,2,0.005,3,0.019115375257084618,0.09648824560259402,0.019115375257084618,16.431500286326706,3.956093e-5,578,289.0,5ef5c11-dirty
